run_id,model,domain,task_type,difficulty,n,n_samples,n_needs_review,n_excluded_from_main,n_samples_unscored,n_items_unscored,mean_score,mean_score_incl_review,small_cell,ci_method,ci_low,ci_high,t2_judgment_accuracy,t2_verdict_ci_low,t2_verdict_ci_high,t4_pass_at_1,diagnostic_functional_threshold_rate,t4_performance_pass_rate,judge_mean_score_range,paper_eligible
intl-20260828-v1,GPT-5.6-Luna,D1,T1,Basic,15,15,0,0,0,0,1.0,1.0,False,wilson,0.7961166989641604,1.0,,,,,,,,True
intl-20260828-v1,GPT-5.6-Luna,D1,T1,Expert,7,7,0,0,0,0,1.0,1.0,False,wilson,0.6456695649333253,1.0,,,,,,,,True
intl-20260828-v1,GPT-5.6-Luna,D1,T1,Intermediate,20,20,0,0,0,0,1.0,1.0,False,wilson,0.838874841947188,0.9999999999999999,,,,,,,,True
intl-20260828-v1,GPT-5.6-Luna,D1,T2,Basic,5,5,0,0,0,0,0.75,0.75,False,item-cluster bootstrap B=20000 seed=20260805,0.55,0.9,1.0,0.5655175352168389,1.0,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D1,T2,Expert,3,3,0,0,0,0,0.875,0.875,True,"none (descriptive, n<5)",,,1.0,0.43850296824496815,1.0,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D1,T2,Intermediate,9,9,0,0,0,0,0.6111111111111112,0.6111111111111112,False,item-cluster bootstrap B=20000 seed=20260805,0.3611111111111111,0.8055555555555556,0.7777777777777778,0.45258896910699736,0.9367748928821513,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D1,T3,Basic,1,1,0,0,0,0,0.8333333333333334,0.8333333333333334,True,none (n<2),,,,,,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D1,T3,Expert,8,8,0,0,0,0,0.875,0.875,False,item-cluster bootstrap B=20000 seed=20260805,0.725,0.975,,,,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D1,T3,Intermediate,6,6,0,0,0,0,0.9333333333333332,0.9333333333333332,False,item-cluster bootstrap B=20000 seed=20260805,0.8333333333333334,1.0,,,,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D1,T4,Basic,2,2,0,0,0,0,1.0,1.0,True,wilson,0.34238022750666547,1.0,,,,1.0,1.0,1.0,,True
intl-20260828-v1,GPT-5.6-Luna,D1,T4,Expert,3,3,0,0,0,0,1.0,1.0,True,wilson,0.43850296824496815,1.0,,,,1.0,1.0,1.0,,True
intl-20260828-v1,GPT-5.6-Luna,D1,T4,Intermediate,1,1,0,0,0,0,0.0,0.0,True,none (n<2),,,,,,0.0,0.0,1.0,,True
intl-20260828-v1,GPT-5.6-Luna,D2,T1,Basic,13,13,0,0,0,0,1.0,1.0,False,wilson,0.7719046276458112,1.0,,,,,,,,True
intl-20260828-v1,GPT-5.6-Luna,D2,T1,Expert,6,6,0,0,0,0,1.0,1.0,False,wilson,0.6096657120978477,1.0,,,,,,,,True
intl-20260828-v1,GPT-5.6-Luna,D2,T1,Intermediate,11,11,0,0,0,0,0.8181818181818182,0.8181818181818182,False,wilson,0.5230194380391643,0.9486323102539135,,,,,,,,True
intl-20260828-v1,GPT-5.6-Luna,D2,T2,Basic,4,4,0,0,0,0,0.5,0.5,True,"none (descriptive, n<5)",,,1.0,0.5101091635454165,1.0,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D2,T2,Intermediate,4,4,0,0,0,0,0.4375,0.4375,True,"none (descriptive, n<5)",,,0.75,0.3006418425824105,0.9544127391902977,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D2,T3,Expert,5,5,0,0,0,0,0.9,0.9,False,item-cluster bootstrap B=20000 seed=20260805,0.78,1.0,,,,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D2,T3,Intermediate,3,3,0,0,0,0,0.9333333333333332,0.9333333333333332,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D2,T4,Basic,1,1,0,0,0,0,1.0,1.0,True,none (n<2),,,,,,1.0,1.0,1.0,,True
intl-20260828-v1,GPT-5.6-Luna,D2,T4,Intermediate,3,3,0,0,0,0,0.6666666666666666,0.6666666666666666,True,wilson,0.2076596008020547,0.9385080552796013,,,,0.6666666666666666,0.6666666666666666,1.0,,True
intl-20260828-v1,GPT-5.6-Luna,D3,T1,Basic,14,14,0,0,0,0,0.9285714285714286,0.9285714285714286,False,wilson,0.6853129557584975,0.9872777847521087,,,,,,,,True
intl-20260828-v1,GPT-5.6-Luna,D3,T1,Expert,9,9,0,0,0,0,1.0,1.0,False,wilson,0.7008549515804674,1.0,,,,,,,,True
intl-20260828-v1,GPT-5.6-Luna,D3,T1,Intermediate,21,21,0,0,0,0,0.9523809523809523,0.9523809523809523,False,wilson,0.7733063992587812,0.9915440121901733,,,,,,,,True
intl-20260828-v1,GPT-5.6-Luna,D3,T2,Basic,3,3,0,0,0,0,0.5416666666666666,0.5416666666666666,True,"none (descriptive, n<5)",,,0.6666666666666666,0.2076596008020547,0.9385080552796013,,,,0.0,True
intl-20260828-v1,GPT-5.6-Luna,D3,T2,Expert,5,5,0,0,0,0,0.475,0.475,False,item-cluster bootstrap B=20000 seed=20260805,0.2,0.725,0.8,0.37553462976253477,0.9637758913675682,,,,0.0,True
