model,qid,sample_id,task_type,domain,difficulty,score,needs_review,exclude_from_main,warnings,problems,judgment_correct,reason_score_normalized,judge_repeats,judge_score_range,judge_all_identical,judge_dim_identical_fraction,t4_passed,t4_total,t4_functional_pass_rate,t4_meets_threshold,t4_performance_failed,t4_failure_class,t4_pass_at_1,run_id,paper_eligible
DeepSeek-V3,D1-T1-001,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-002,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-003,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-004,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-005,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-006,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-007,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-008,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-009,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-010,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-011,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
DeepSeek-V3,D1-T1-012,0,T1,D1,Expert,1.0,False,False,,,,,,,,,,,,,,,,midtier-20260828-v1,True
