run_id,model,domain,task_type,difficulty,n,n_samples,n_needs_review,n_excluded_from_main,n_samples_unscored,n_items_unscored,mean_score,mean_score_incl_review,small_cell,ci_method,ci_low,ci_high,t2_judgment_accuracy,t2_verdict_ci_low,t2_verdict_ci_high,t4_pass_at_1,diagnostic_functional_threshold_rate,t4_performance_pass_rate,judge_mean_score_range,paper_eligible
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T1,Basic,15,15,0,0,0,0,1.0,1.0,False,wilson,0.7961166989641604,1.0,,,,,,,,True
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T1,Expert,7,7,0,0,0,0,0.8571428571428571,0.8571428571428571,False,wilson,0.486872170725691,0.9743203756552553,,,,,,,,True
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T1,Intermediate,20,20,0,0,0,0,1.0,1.0,False,wilson,0.838874841947188,0.9999999999999999,,,,,,,,True
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T2,Basic,5,5,0,0,0,0,0.55,0.55,False,item-cluster bootstrap B=20000 seed=20260805,0.225,0.825,0.8,0.37553462976253477,0.9637758913675682,,,,0.0,True
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T2,Expert,3,3,0,0,0,0,0.875,0.875,True,"none (descriptive, n<5)",,,1.0,0.43850296824496815,1.0,,,,0.0,True
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T2,Intermediate,9,9,0,0,0,0,0.4861111111111111,0.4861111111111111,False,item-cluster bootstrap B=20000 seed=20260805,0.2916666666666667,0.6527777777777778,0.7777777777777778,0.45258896910699736,0.9367748928821513,,,,0.0,True
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T3,Basic,1,1,0,0,0,0,1.0,1.0,True,none (n<2),,,,,,,,,0.0,True
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T3,Expert,8,8,0,0,0,0,0.6791666666666667,0.6791666666666667,False,item-cluster bootstrap B=20000 seed=20260805,0.5791666666666667,0.7833333333333332,,,,,,,0.0,True
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T3,Intermediate,6,6,0,0,0,0,0.8277777777777778,0.8277777777777778,False,item-cluster bootstrap B=20000 seed=20260805,0.6666666666666666,0.9666666666666667,,,,,,,0.0,True
paper-full-20260818-v1,DeepSeek-V4-Pro,D1,T4,Basic,2,2,0,0,0,0,1.0,1.0,True,wilson,0.34238022750666547,1.0,,,,1.0,1.0,1.0,,True
