model,qid,sample_id,task_type,domain,difficulty,score,needs_review,exclude_from_main,warnings,problems,judgment_correct,reason_score_normalized,judge_repeats,judge_score_range,judge_all_identical,judge_dim_identical_fraction,t4_passed,t4_total,t4_functional_pass_rate,t4_meets_threshold,t4_performance_failed,t4_failure_class,t4_pass_at_1,run_id,paper_eligible
DeepSeek-V4-Pro,D1-T1-001,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-002,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-003,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-004,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-005,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-006,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-007,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-008,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-009,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-010,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-011,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-012,0,T1,D1,Expert,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-013,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-014,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-015,0,T1,D1,Expert,0.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-016,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-017,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-018,0,T1,D1,Expert,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-019,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-020,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-021,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-022,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-023,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-024,0,T1,D1,Expert,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-025,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-026,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-027,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-028,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-029,0,T1,D1,Basic,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-030,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-031,0,T1,D1,Expert,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-032,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-033,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-034,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-035,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-036,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-037,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-038,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-039,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-040,0,T1,D1,Intermediate,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-041,0,T1,D1,Expert,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T1-042,0,T1,D1,Expert,1.0,False,False,,,,,,,,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T2-001,0,T2,D1,Basic,0.0,False,False,,,False,0.5,1,0.0,True,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T2-002,0,T2,D1,Basic,0.625,False,False,,,True,0.625,1,0.0,True,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T2-003,0,T2,D1,Basic,0.75,False,False,,,True,0.75,1,0.0,True,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T2-004,0,T2,D1,Intermediate,0.75,False,False,,,True,0.75,1,0.0,True,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T2-005,0,T2,D1,Intermediate,0.5,False,False,,,True,0.5,1,0.0,True,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T2-006,0,T2,D1,Intermediate,0.625,False,False,,,True,0.625,1,0.0,True,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T2-007,0,T2,D1,Expert,0.875,False,False,,,True,0.875,1,0.0,True,,,,,,,,,paper-full-20260818-v1,True
DeepSeek-V4-Pro,D1-T2-008,0,T2,D1,Basic,1.0,False,False,,,True,1.0,1,0.0,True,,,,,,,,,paper-full-20260818-v1,True
