qid,domain,iot_level
D1-T1-001,D1,L2
D1-T1-002,D1,L2
D1-T1-003,D1,L1
D1-T1-004,D1,L1
D1-T1-005,D1,L1
D1-T1-006,D1,L1
D1-T1-007,D1,L1
D1-T1-008,D1,L1
D1-T1-009,D1,L1
D1-T1-010,D1,L1
D1-T1-011,D1,L1
D1-T1-012,D1,L1
D1-T1-013,D1,L2
D1-T1-014,D1,L2
D1-T1-015,D1,L2
D1-T1-016,D1,L1
D1-T1-017,D1,L2
D1-T1-018,D1,L2
D1-T1-019,D1,L0
D1-T1-020,D1,L0
D1-T1-021,D1,L0
D1-T1-022,D1,L1
D1-T1-023,D1,L1
D1-T1-024,D1,L1
D1-T1-025,D1,L1
D1-T1-026,D1,L2
D1-T1-027,D1,L1
D1-T1-028,D1,L1
D1-T1-029,D1,L1
D1-T1-030,D1,L1
D1-T1-031,D1,L1
D1-T1-032,D1,L2
D1-T1-033,D1,L2
D1-T1-034,D1,L2
D1-T1-035,D1,L2
D1-T1-036,D1,L2
D1-T1-037,D1,L0
D1-T1-038,D1,L0
D1-T1-039,D1,L2
D1-T1-040,D1,L2
D1-T1-041,D1,L2
D1-T1-042,D1,L2
D1-T2-001,D1,L1
D1-T2-002,D1,L2
D1-T2-003,D1,L1
D1-T2-004,D1,L1
D1-T2-005,D1,L0
D1-T2-006,D1,L1
D1-T2-007,D1,L1
D1-T2-008,D1,L0
D1-T2-009,D1,L1
D1-T2-010,D1,L1
D1-T2-011,D1,L2
D1-T2-012,D1,L1
D1-T2-013,D1,L1
D1-T2-014,D1,L1
D1-T2-015,D1,L1
D1-T2-016,D1,L1
D1-T2-017,D1,L1
D1-T3-001,D1,L2
D1-T3-002,D1,L2
D1-T3-003,D1,L2
D1-T3-004,D1,L2
D1-T3-005,D1,L2
D1-T3-006,D1,L0
D1-T3-007,D1,L2
D1-T3-008,D1,L2
D1-T3-009,D1,L2
D1-T3-010,D1,L2
D1-T3-011,D1,L2
D1-T3-012,D1,L2
D1-T3-013,D1,L2
D1-T3-014,D1,L2
D1-T3-015,D1,L2
D1-T4-001,D1,L1
D1-T4-002,D1,L1
D1-T4-003,D1,L1
D1-T4-004,D1,L1
D1-T4-005,D1,L0
D1-T4-006,D1,L1
D2-T1-001,D2,L2
D2-T1-002,D2,L2
D2-T1-003,D2,L2
D2-T1-004,D2,L1
D2-T1-005,D2,L1
D2-T1-006,D2,L1
D2-T1-007,D2,L2
D2-T1-008,D2,L1
D2-T1-009,D2,L1
D2-T1-010,D2,L2
D2-T1-011,D2,L1
D2-T1-012,D2,L2
D2-T1-013,D2,L2
D2-T1-014,D2,L1
D2-T1-015,D2,L2
D2-T1-016,D2,L2
D2-T1-017,D2,L1
D2-T1-018,D2,L1
D2-T1-019,D2,L1
D2-T1-020,D2,L1
D2-T1-021,D2,L1
D2-T1-022,D2,L1
D2-T1-023,D2,L2
D2-T1-024,D2,L2
D2-T1-025,D2,L2
D2-T1-026,D2,L2
D2-T1-027,D2,L2
D2-T1-028,D2,L1
D2-T1-029,D2,L1
D2-T1-030,D2,L2
D2-T2-001,D2,L2
D2-T2-002,D2,L1
D2-T2-003,D2,L1
D2-T2-004,D2,L1
D2-T2-005,D2,L1
D2-T2-006,D2,L1
D2-T2-007,D2,L1
D2-T2-008,D2,L1
D2-T3-001,D2,L2
D2-T3-002,D2,L2
D2-T3-003,D2,L2
D2-T3-004,D2,L2
D2-T3-005,D2,L2
D2-T3-006,D2,L2
D2-T3-007,D2,L2
D2-T3-008,D2,L2
D2-T4-001,D2,L1
D2-T4-002,D2,L1
D2-T4-003,D2,L1
D2-T4-004,D2,L1
D3-T1-001,D3,L0
D3-T1-002,D3,L0
D3-T1-003,D3,L1
D3-T1-004,D3,L2
D3-T1-005,D3,L0
D3-T1-006,D3,L0
D3-T1-007,D3,L0
D3-T1-008,D3,L0
D3-T1-009,D3,L0
D3-T1-010,D3,L0
D3-T1-011,D3,L0
D3-T1-012,D3,L0
D3-T1-013,D3,L1
D3-T1-014,D3,L1
D3-T1-015,D3,L0
D3-T1-016,D3,L1
D3-T1-017,D3,L0
D3-T1-018,D3,L0
D3-T1-019,D3,L1
D3-T1-020,D3,L2
D3-T1-021,D3,L2
D3-T1-022,D3,L2
D3-T1-023,D3,L2
D3-T1-024,D3,L0
D3-T1-025,D3,L2
D3-T1-026,D3,L1
D3-T1-027,D3,L0
D3-T1-028,D3,L2
D3-T1-029,D3,L2
D3-T1-030,D3,L2
D3-T1-031,D3,L2
D3-T1-032,D3,L1
D3-T1-033,D3,L0
D3-T1-034,D3,L1
D3-T1-035,D3,L2
D3-T1-036,D3,L0
D3-T1-037,D3,L0
D3-T1-038,D3,L2
D3-T1-039,D3,L1
D3-T1-040,D3,L2
D3-T1-041,D3,L1
D3-T1-042,D3,L0
D3-T1-043,D3,L2
D3-T1-044,D3,L0
D3-T2-001,D3,L0
D3-T2-002,D3,L0
D3-T2-003,D3,L1
D3-T2-004,D3,L1
D3-T2-005,D3,L1
D3-T2-006,D3,L2
D3-T2-007,D3,L1
D3-T2-008,D3,L0
D3-T2-009,D3,L1
D3-T2-010,D3,L0
D3-T2-011,D3,L2
D3-T2-012,D3,L0
D3-T2-013,D3,L1
D3-T2-014,D3,L1
D3-T2-015,D3,L2
D3-T3-001,D3,L2
D3-T3-002,D3,L0
D3-T3-003,D3,L0
D3-T3-004,D3,L2
D3-T3-005,D3,L2
D3-T3-006,D3,L0
D3-T3-007,D3,L2
D3-T3-008,D3,L2
D3-T3-009,D3,L2
D3-T3-010,D3,L1
D3-T3-011,D3,L0
D3-T3-012,D3,L0
D3-T3-013,D3,L2
D3-T3-014,D3,L0
D3-T4-001,D3,L1
D3-T4-002,D3,L0
D3-T4-003,D3,L0
D3-T4-004,D3,L0
D3-T4-005,D3,L1
D3-T4-006,D3,L0
D3-T4-007,D3,L0
D4-T1-001,D4,L1
D4-T1-002,D4,L1
D4-T1-003,D4,L1
D4-T1-004,D4,L1
D4-T1-005,D4,L1
D4-T1-006,D4,L1
D4-T1-007,D4,L1
D4-T1-008,D4,L2
D4-T1-009,D4,L1
D4-T1-010,D4,L1
D4-T1-011,D4,L1
D4-T1-012,D4,L1
D4-T1-013,D4,L1
D4-T1-014,D4,L1
D4-T1-015,D4,L1
D4-T1-016,D4,L1
D4-T1-017,D4,L2
D4-T1-018,D4,L1
D4-T1-019,D4,L1
D4-T1-020,D4,L2
D4-T1-021,D4,L1
D4-T1-022,D4,L2
D4-T1-023,D4,L2
D4-T1-024,D4,L2
D4-T1-025,D4,L1
D4-T1-026,D4,L1
D4-T1-027,D4,L1
D4-T1-028,D4,L1
D4-T1-029,D4,L1
D4-T1-030,D4,L1
D4-T1-031,D4,L2
D4-T1-032,D4,L2
D4-T1-033,D4,L2
D4-T2-001,D4,L2
D4-T2-002,D4,L1
D4-T2-003,D4,L1
D4-T2-004,D4,L1
D4-T2-005,D4,L1
D4-T2-006,D4,L1
D4-T2-007,D4,L1
D4-T2-008,D4,L2
D4-T2-009,D4,L1
D4-T2-010,D4,L1
D4-T2-011,D4,L1
D4-T3-001,D4,L2
D4-T3-002,D4,L2
D4-T3-003,D4,L2
D4-T3-004,D4,L2
D4-T3-005,D4,L2
D4-T3-006,D4,L2
D4-T3-007,D4,L2
D4-T3-008,D4,L2
D4-T3-009,D4,L2
D4-T3-010,D4,L2
D4-T4-001,D4,L1
D4-T4-002,D4,L1
